All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    bin_9  
# contigs (>= 0 bp)         291    
# contigs (>= 1000 bp)      291    
# contigs (>= 5000 bp)      34     
# contigs (>= 10000 bp)     9      
# contigs (>= 25000 bp)     0      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      1114257
Total length (>= 1000 bp)   1114257
Total length (>= 5000 bp)   290078 
Total length (>= 10000 bp)  129341 
Total length (>= 25000 bp)  0      
Total length (>= 50000 bp)  0      
# contigs                   291    
Largest contig              24617  
Total length                1114257
GC (%)                      66.65  
N50                         3532   
N75                         2913   
L50                         101    
L75                         188    
# N's per 100 kbp           0.00   
