All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    bin_22 
# contigs (>= 0 bp)         240    
# contigs (>= 1000 bp)      240    
# contigs (>= 5000 bp)      116    
# contigs (>= 10000 bp)     37     
# contigs (>= 25000 bp)     3      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      1519170
Total length (>= 1000 bp)   1519170
Total length (>= 5000 bp)   1074834
Total length (>= 10000 bp)  528462 
Total length (>= 25000 bp)  79726  
Total length (>= 50000 bp)  0      
# contigs                   240    
Largest contig              27367  
Total length                1519170
GC (%)                      41.44  
N50                         7225   
N75                         4626   
L50                         65     
L75                         130    
# N's per 100 kbp           0.00   
