All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    bin_19 
# contigs (>= 0 bp)         838    
# contigs (>= 1000 bp)      838    
# contigs (>= 5000 bp)      243    
# contigs (>= 10000 bp)     49     
# contigs (>= 25000 bp)     0      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      4045305
Total length (>= 1000 bp)   4045305
Total length (>= 5000 bp)   1988775
Total length (>= 10000 bp)  662045 
Total length (>= 25000 bp)  0      
Total length (>= 50000 bp)  0      
# contigs                   838    
Largest contig              24618  
Total length                4045305
GC (%)                      61.79  
N50                         4958   
N75                         3533   
L50                         250    
L75                         494    
# N's per 100 kbp           0.00   
