All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    bin_24 
# contigs (>= 0 bp)         378    
# contigs (>= 1000 bp)      378    
# contigs (>= 5000 bp)      90     
# contigs (>= 10000 bp)     10     
# contigs (>= 25000 bp)     0      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      1631292
Total length (>= 1000 bp)   1631292
Total length (>= 5000 bp)   638053 
Total length (>= 10000 bp)  118720 
Total length (>= 25000 bp)  0      
Total length (>= 50000 bp)  0      
# contigs                   378    
Largest contig              17015  
Total length                1631292
GC (%)                      51.54  
N50                         4422   
N75                         3258   
L50                         129    
L75                         235    
# N's per 100 kbp           0.00   
